taskId,sourceSheet,sourceRow,section,kpacId,title,function,stage,marker,requiredType,taskDescription,documentOrEvidence,responsible,remarks,expandedByAllGatesRule,uiStage,originalStage
GPM_GR-12-Gate0-1,Gate Checklist-更新版,5,,GPM_GR-12,"Customer Requirements (Volumes, Key dates, others)",Customer,Gate 0,X,required,Verify customer requirements and share them with team,Customer Documents,Sales,,False,CKO,Gate 0
GPM_GR-12-PKO-3,Gate Checklist-更新版,5,,GPM_GR-12,"Customer Requirements (Volumes, Key dates, others)",Customer,PKO,X,required,Verify customer requirements and share them with team,Customer Documents,Sales,,False,PKO,PKO
GPM_GR-12-Gate1-4,Gate Checklist-更新版,5,,GPM_GR-12,"Customer Requirements (Volumes, Key dates, others)",Customer,Gate 1,X,required,Verify customer requirements and share them with team,Customer Documents,Sales,,False,Gate1,Gate 1
GPM_GR-12-Gate4-5,Gate Checklist-更新版,5,,GPM_GR-12,"Customer Requirements (Volumes, Key dates, others)",Customer,Gate 4,X,required,"Verify that PPAP and Post PPAP milestones are confirmed, verify SOP and Ramp Up plan",Customer Documents,Sales,,False,Gate4,Gate 4
GPM_GR-12-Gate5-6,Gate Checklist-更新版,5,,GPM_GR-12,"Customer Requirements (Volumes, Key dates, others)",Customer,Gate 5,X,required,"Verify that SOP milestones are confirmed, verify Ramp Up plan and Peak volumes",Customer Documents,Sales,,False,Gate5,Gate 5
GPM_GR-14-Gate0-7,Gate Checklist-更新版,6,,GPM_GR-14,RFQ / Gate0 / Quotation,Customer,Gate 0,X,required,Kick off and lead internal RFQ. Generate Gate Zero document. Quotation package,MP-SA-001 B,Sales,,False,CKO,Gate 0
GPM_GR-15-CKO-8,Gate Checklist-更新版,7,,GPM_GR-15,Commercial Kick Off,Customer,CKO,X,required,"PKO Gate: Every program detail (design, price, volume and terms & conditions with Customer, Contracted capacity, agreement with customer, etc) has to be included in a presentation (ppt) that summarizes conditions of the awarded business.
Gate 1: Share any updates (if applicable) with launch team",Quote Commercial Kick-Off meeting ppt,Sales,,False,CKO,CKO
GPM_GR-15-PKO-9,Gate Checklist-更新版,7,,GPM_GR-15,Commercial Kick Off,Customer,PKO,X,required,"Every program detail (design, price, volume and terms & conditions with Customer, Contracted capacity, agreement with customer, etc) has to be included in a presentation (ppt) that summarizes conditions of the awarded business.",Quote Commercial Kick-Off meeting ppt,Sales,,False,PKO,PKO
GPM_GR-15-Gate1-10,Gate Checklist-更新版,7,,GPM_GR-15,Commercial Kick Off,Customer,Gate 1,X,required,Share any updates (if applicable) with launch team,Quote Commercial Kick-Off meeting ppt,Sales,,False,Gate1,Gate 1
GPM_GR-16-CKO-11,Gate Checklist-更新版,8,,GPM_GR-16,"Program Award (LOI, PO)",Customer,CKO,X,required,"PKO Gate: Sales to organize commercial kick off and provide official contractual documents.
Gate 1: Share any updates (if applicable) with launch team",LOI / NL,Customer,,False,CKO,CKO
