taskId,sourceSheet,sourceRow,section,kpacId,title,function,stage,marker,requiredType,taskDescription,documentOrEvidence,responsible,remarks,expandedByAllGatesRule
GPM_GR-21-Gate0-119,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,Gate 0,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-21-CKO-120,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,CKO,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-21-PKO-121,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,PKO,X,required,Check status of the ESOK as reported at the Gate0 and at the current state,MP-E-GEN002,Product Eng,,True
GPM_GR-21-Gate1-122,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,Gate 1,X,required,Check status of the ESOK as reported at the Gate0 and at the current state,MP-E-GEN002,Product Eng,,True
GPM_GR-21-Gate2-123,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,Gate 2,X,required,"Check any progress on NUD, CPS, DR, DFMEA, DVP&R",MP-E-GEN002,Product Eng,,True
GPM_GR-21-Gate3-124,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,Gate 3,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-21-Gate4-125,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,Gate 4,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-21-Gate5-126,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,Gate 5,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-21-Gate6-127,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,Gate 6,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-22-Gate0-128,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,Gate 0,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-22-CKO-129,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,CKO,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-22-PKO-130,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,PKO,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-22-Gate1-131,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,Gate 1,X,required,Check if the ESO1 is executed or planned in time for prototype phase builds,MP-E-GEN002,Product Eng,,True
GPM_GR-22-Gate2-132,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,Gate 2,X,required,"Verify the status of the prototype builds (on time deliveries, customer satisfaction)",MP-E-GEN002,Product Eng,,True
